line_id,EMIR band,freq,Calibration error (%),molecule,per99_intensity,Noise RMS (K) [1 min],"Noise RMS (Mathis units, log10) [1 min]",Noise RMS (K) [0.4 min],"Noise RMS (Mathis units, log10) [0.4 min]",SNR (per99),"SNR (per99, dB)"
hcn_j1_f2__j0_f1,E090,88.63174744379972,5.0,hcn,-8.327268815421375,0.4406267210333089,-9.803540059940257,0.6966920181984386,-9.604570055604238,18.936566624652396,12.773012401828634
hcop_j1__j0,E090,89.18072984784203,5.0,hcop,-7.559371132209841,0.438853643547221,-9.797246050926242,0.693888536536437,-9.598276046590223,109.37168786964334,20.389049143803824
hnc_j1__j0,E090,90.6635732652746,5.0,hnc,-8.274138335679885,0.43467347551159785,-9.779917191578052,0.6872791105390365,-9.580947187242034,20.26790460657213,13.06808851562149
cs_j2__j1,E090,98.1613126899962,5.0,cs,-7.11947031197049,0.42453481538800997,-9.686644441851447,0.6712484813326055,-9.487674437515428,233.45550837138887,23.682041255449384
c_18o_j1__j0,E090,109.788146160813,5.0,c_18o,-7.623276346271996,0.47750442221579886,-9.489735072667472,0.7550007835023151,-9.290765068331453,46.50382997009564,16.67488722059457
13c_o_j1__j0,E090,110.20487854327956,5.0,13c_o,-7.106268485837233,0.4856779099152227,-9.477428014401996,0.7679242022810896,-9.278458010065977,148.6584239670337,21.721895242287445
cn_n1_j0d5__n0_j0d5,E090,113.16867883064928,5.0,cn,-8.202627622672212,0.6057836565243041,-9.346882536358494,0.9578280619609607,-9.147912532022474,8.81627055389321,9.452849093502618
cn_n1_j1d5__n0_j0d5,E090,113.49492694437564,5.0,cn,-8.025698673212933,0.6342473993739577,-9.323190782037447,1.0028331910300792,-9.124220777701428,12.546485946667175,10.985221044884952
co_v0_j1__v0_j0,E090,115.26817699024816,5.0,co,-6.351393817024512,0.9858853009118178,-9.111424160521768,1.5588215312809108,-8.912454156185749,363.9656005585526,25.610603391612372
cs_j3__j2,E150,147.23155072543267,7.5,cs,-6.526607376664145,0.4543516264204614,-9.128984080057808,0.7183929990452971,-8.93001407572179,253.16676901803197,24.03406699057645
c2h_n2d0_j2d5_f3d0__n1d0_j1d5_f2d0,E150,174.6629806379125,7.5,c2h,-7.873531781695086,1.003014436466411,-8.562469040736579,1.585905072632054,-8.36349903640056,3.0900624366466833,4.899672547054736
hcn_j2_f3__j1_f2,E150,177.26101532992374,7.5,hcn,-7.4059014132191825,1.8357331419498777,-8.280729579767856,2.9025489524094032,-8.081759575431837,4.740871261643444,6.758581622126547
hcop_j2__j1,E150,178.38229631480738,7.5,hcop,-6.493584220429127,2.9670578629999422,-8.063997559288776,4.6913303982958245,-7.865027554952757,23.52032587020473,13.714433345236303
c_18o_j2__j1,E230,219.55545570250263,10.0,c_18o,-6.562900048031983,0.6445586452374961,-8.45648368839822,1.0191367022514648,-8.2575136840622,49.500961652423115,16.946136360302173
13c_o_j2__j1,E230,220.38892046743567,10.0,13c_o,-5.9950400099905945,0.644576346918034,-8.451535188513722,1.0191646910659211,-8.252565184177703,180.9360788093177,22.575251741871085
cn_n2_j1d5__n1_j0d5,E230,226.65899254755104,10.0,cn,-7.538787113804057,0.6538975276661917,-8.408750268512437,1.0339027718890663,-8.209780264176418,4.68805988149001,6.70993150372361
cn_n2_j2d5__n1_j1d5,E230,226.87649122057988,10.0,cn,-7.282876440195348,0.6529972252415427,-8.408098999459087,1.0324792687666349,-8.209128995123068,8.438253241867114,9.262525549277205
co_v0_j2__v0_j1,E230,230.5363539804964,10.0,co,-5.328937425618345,0.6614230809578691,-8.381681219123049,1.0458017164164053,-8.18271121478703,714.124263503501,28.537737891686852
cs_j5__j4,E230,245.39286341542885,10.0,cs,-5.914491022319772,0.6868163167642002,-8.283952437016975,1.0859519475712798,-8.084982432680956,148.0782967498103,21.70491410361184
c2h_n3d0_j3d5_f4d0__n2d0_j2d5_f3d0,E230,262.00393286561274,10.0,c2h,-7.025022376535294,0.7394522657830609,-8.166545250773515,1.169176690423332,-7.967575246437497,8.760983651212516,9.425528699022028
c2h_n3d0_j2d5_f3d0__n2d0_j1d5_f2d0,E230,262.06465910838574,10.0,c2h,-7.225756555055834,0.7399303777316338,-8.16596259498912,1.169932651790348,-7.966992590653101,5.511071373727239,7.412360355972671
hcn_j3_f3__j2_f3,E230,265.88567832322155,10.0,hcn,-6.678136420618752,0.7550015779606714,-8.138346131476888,1.193762311688453,-7.939376127140869,18.249026696907443,12.61239706522117
hcop_j3__j2,E230,267.5630261626494,10.0,hcop,-5.937420650980184,0.7759209524037501,-8.118283049049769,1.2268387469214757,-7.919313044713749,95.9162947788378,19.81892393733565
hnc_j3__j2,E230,271.98115766294194,10.0,hnc,-7.025265317273254,0.7819419648089376,-8.093587850942146,1.2363588034317363,-7.894617846606128,7.402058776810519,8.693525293328737
cs_j6__j5,E330,294.46310145086534,10.0,cs,-5.749163978713521,1.0338135477714114,-7.868843960931097,1.634602743448475,-7.669873956595079,83.31246376707422,19.207099778815575
c_18o_j3__j2,E330,329.32276524419234,10.0,c_18o,-6.0226770006907095,9.28671904078402,-6.769651259184888,14.683592079465813,-6.57068125484887,3.5318662943624277,5.4800425415816
13c_o_j3__j2,E330,330.5937990107153,10.0,13c_o,-5.443299415514666,4.8623572055730016,-7.045647856064404,7.688061783471126,-6.846677851728385,25.31502940675984,14.033784362137194
cn_n3_j2d5__n2_j1d5,E330,340.03133016044126,10.0,cn,-6.675077325397346,1.9798640554003222,-7.399186651956285,3.130439936281405,-7.200216647620266,3.3507291373539636,5.251393222229197
cn_n3_j3d5__n2_j2d5,E330,340.24882904183625,10.0,cn,-6.520565810900283,1.9772950295090446,-7.3989174336747165,3.126377949689214,-7.199947429338698,4.779490673048002,6.793816184384145
cs_j7__j6,E330,343.5333394863017,10.0,cs,-5.680933814354489,2.043419947469023,-7.372114523989491,3.230930625111867,-7.173144519653472,31.060661830643372,14.922107052989828
co_v0_j3__v0_j2,E330,345.80453097074445,10.0,co,-4.745592912635265,2.0657697902819927,-7.358804865864525,3.2662688294297317,-7.159834861528506,259.5625002625467,24.14241948893241
c2h_n4d0_j4d5_f5d0__n3d0_j3d5_f4d0,E330,349.3372713926852,10.0,c2h,-6.499393354696824,2.2259425521966434,-7.313130103167992,3.5195242028148157,-7.114160098831973,4.118762444597031,6.147667441351485
hcop_j4__j3,E330,356.7229193913681,10.0,hcop,-5.585819048146913,3.0597295720119324,-7.147702741403664,4.837857235864945,-6.948732737067645,23.06288794554705,13.629136889207318
